GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	SPÖ	ÖVP	FPÖ	GRÜNE	NEOS	PILZ	GILT	FLÖ	KPÖ	WEIßE	SLP	EUAUS	M	CPÖ	NBZ	ODP	
G10322	Zillingtal	747	552	6	546	182	156	136	10	24	23	10	2	3	0							
G10323	Zagersdorf	813	617	10	607	235	225	107	4	15	9	5	2	4	1							
G10399	Wahlkarten - Eisenstadt-Umgebung	0	2899	17	2882	1048	972	487	102	99	115	26	3	19	11							
G10400	Güssing	21329	18010	160	17850	5631	6568	4372	310	400	405	101	12	40	11							
G10401	Bocksdorf	690	527	8	519	199	141	144	7	5	13	6	1	3	0							
G10402	Burgauberg-Neudauberg	1093	802	10	792	226	271	248	15	13	16	2	1	0	0							
G10403	Eberau	739	557	2	555	121	275	119	13	13	12	1	1	0	0							
G10404	Gerersdorf-Sulz	833	641	2	639	197	279	128	14	9	8	3	1	0	0							
G10405	Güssing	2980	2065	15	2050	614	815	479	31	51	48	10	0	1	1							
G10406	Güttenbach	729	574	10	564	166	250	92	21	19	9	5	1	1	0							
G10407	Heiligenbrunn	669	489	4	485	122	229	105	8	9	7	2	1	2	0							
G10408	Kukmirn	1650	1212	5	1207	316	433	361	16	23	46	7	0	2	3							
G10409	Neuberg im Burgenland	844	647	10	637	227	233	144	2	7	15	5	2	1	1							
G10410	Neustift bei Güssing	429	318	0	318	132	60	106	7	4	6	3	0	0	0							
G10411	Olbendorf	1226	910	12	898	377	174	288	13	24	10	9	0	3	0							
G10412	Ollersdorf im Burgenland	825	664	2	662	215	234	160	6	19	22	3	0	2	1							
G10413	Sankt Michael im Burgenland	812	630	8	622	160	252	171	9	15	13	2	0	0	0							
G10414	Stegersbach	2066	1486	16	1470	508	434	395	25	41	49	10	1	6	1							
G10415	Stinatz	963	757	12	745	393	214	90	13	18	14	2	0	1	0							
G10416	Strem	752	579	7	572	111	284	146	11	6	11	0	0	1	2							
G10417	Tobaj	1101	843	8	835	167	359	247	17	19	18	5	0	2	1							
G10418	Hackerberg	293	229	0	229	73	94	53	1	3	2	2	0	1	0							
G10419	Wörterberg	391	301	2	299	92	90	85	7	14	9	0	0	2	0							
G10420	Großmürbisch	214	163	2	161	55	77	17	5	3	3	0	0	1	0							
G10421	Inzenhof	267	210	4	206	76	61	63	2	2	2	0	0	0	0							
G10422	Kleinmürbisch	206	151	0	151	51	60	35	1	0	3	0	0	1	0							
G10423	Tschanigraben	51	37	0	37	25	5	6	1	0	0	0	0	0	0							
G10424	Heugraben	191	156	5	151	45	65	37	0	2	2	0	0	0	0							
G10425	Rohr im Burgenland	340	264	0	264	82	84	81	1	7	2	4	1	2	0							
G10426	Bildein	264	213	1	212	21	132	46	2	4	6	0	0	0	1							
G10427	Rauchwart	378	303	3	300	118	64	110	2	1	2	3	0	0	0							
G10428	Moschendorf	333	280	2	278	64	149	54	4	4	2	1	0	0	0							
G10499	Wahlkarten - Güssing	0	2002	10	1992	678	750	362	56	65	55	16	2	8	0							
G10500	Jennersdorf	14381	11847	99	11748	3136	3878	3710	244	287	326	87	14	47	19							
G10501	Deutsch Kaltenbrunn	1452	1078	9	1069	340	312	334	19	19	26	8	2	7	2							
G10502	Eltendorf	791	575	5	570	163	180	188	11	12	11	3	1	1	0							
G10503	Heiligenkreuz im Lafnitztal	977	695	4	691	193	214	239	16	13	12	3	0	0	1							
G10504	Jennersdorf	3502	2425	13	2412	466	830	893	63	66	66	13	4	8	3							
G10505	Minihof-Liebau	890	680	2	678	203	183	237	8	23	12	10	0	1	1							
G10506	Mogersdorf	923	706	3	703	245	190	211	14	17	16	6	2	1	1							
G10507	Neuhaus am Klausenbach	778	548	9	539	117	210	172	7	11	16	3	0	1	2							
G10508	Rudersdorf	1834	1386	17	1369	368	494	391	17	32	48	10	0	9	0							
G10509	Sankt Martin an der Raab	1686	1320	20	1300	353	435	401	31	28	29	15	2	4	2							
G10510	Weichselbaum	601	443	1	442	109	174	133	5	3	14	1	0	3	0							
G10511	Königsdorf	611	462	5	457	142	149	148	4	5	7	2	0	0	0							
G10512	Mühlgraben	336	266	4	262	104	55	82	5	6	6	4	0	0	0							
G10599	Wahlkarten - Jennersdorf	0	1263	7	1256	333	452	281	44	52	63	9	3	12	7							
G10600	Mattersburg	31514	26403	286	26117	9512	7826	6225	497	822	875	184	49	95	32							
G10601	Draßburg	923	697	6	691	395	120	128	6	16	12	7	0	6	1							
G10602	Forchtenstein	2302	1741	13	1728	566	559	468	22	49	46	13	2	0	3							
G10603	Hirm	744	598	7	591	304	125	128	12	7	9	3	0	3	0							
G10604	Loipersbach im Burgenland	985	776	12	764	316	142	251	9	14	24	5	0	3	0							
G10605	Marz	1643	1287	14	1273	423	451	284	29	39	34	4	3	5	1							
G10606	Mattersburg	5689	4132	43	4089	1385	1219	1036	100	133	151	31	11	18	5							
G10607	Neudörfl	3408	2451	35	2416	907	570	693	42	88	90	12	5	6	3							
G10608	Pöttelsdorf	610	427	3	424	125	163	88	12	17	11	7	0	1	0							
G10609	Pöttsching	2369	1844	18	1826	651	514	454	41	60	72	13	1	14	6							
G10610	Rohrbach bei Mattersburg	2179	1663	27	1636	642	506	359	20	38	43	8	14	5	1							
G10611	Bad Sauerbrunn	1732	1263	12	1251	369	351	322	45	58	82	19	0	3	2							
G10612	Schattendorf	1950	1515	29	1486	725	331	325	31	30	28	9	0	6	1							
G10613	Sieggraben	1016	787	9	778	224	279	233	3	17	13	7	1	1	0							
G10614	Sigleß	970	794	6	788	367	189	156	17	31	17	8	0	3	0							
G10615	Wiesen	2193	1704	20	1684	348	697	474	20	56	72	8	3	5	1							
G10616	Antau	613	471	2	469	114	188	134	6	7	15	4	0	1	0							
G10617	Baumgarten	708	548	4	544	279	140	71	14	16	21	1	0	1	1							
G10618	Zemendorf-Stöttera	992	781	2	779	247	343	141	6	20	13	9	0	0	0							
G10619	Krensdorf	488	416	8	408	137	153	97	5	11	4	1	0	0	0							
G10699	Wahlkarten - Mattersburg	0	2508	16	2492	988	786	383	57	115	118	15	9	14	7							
G10700	Neusiedl am See	45034	37889	362	37527	11858	12216	9944	777	1201	1078	232	37	134	50							
G10701	Andau	1937	1589	15	1574	595	473	453	12	17	15	2	2	2	3							
G10702	Apetlon	1542	1220	12	1208	376	473	303	10	20	14	6	1	3	2							
G10703	Bruckneudorf	2278	1658	13	1645	585	329	545	33	69	51	25	0	4	4							
G10704	Deutsch Jahrndorf	448	369	5	364	133	107	106	1	5	7	1	0	1	3							
G10705	Frauenkirchen	2363	1752	21	1731	621	517	456	27	54	33	13	0	8	2							
G10706	Gattendorf	944	750	6	744	245	232	219	4	16	14	4	2	5	3							
G10707	Gols	3076	2372	22	2350	743	629	716	75	75	68	27	3	7	7							
G10708	Halbturn	1575	1276	20	1256	300	544	306	30	28	27	7	1	11	2							
G10709	Illmitz	2050	1665	15	1650	622	573	363	13	41	32	2	0	3	1							
G10710	Jois	1233	946	6	940	272	346	254	7	21	30	2	3	5	0							
G10711	Kittsee	1488	1117	14	1103	341	391	300	13	24	29	4	0	0	1							
G10712	Mönchhof	1825	1389	16	1373	345	537	409	17	36	20	6	0	3	0							
G10713	Neusiedl am See	6003	4312	39	4273	1130	1480	997	149	267	185	27	7	22	9							
G10714	Nickelsdorf	1251	988	11	977	355	254	276	28	13	37	5	0	8	1							
G10715	Pama	856	700	3	697	261	289	117	3	9	13	2	0	3	0							
G10716	Pamhagen	1412	1037	11	1026	301	428	237	8	25	10	11	0	4	2							
G10717	Parndorf	3190	2237	24	2213	793	430	789	58	45	69	23	0	5	1							
G10718	Podersdorf am See	1750	1315	14	1301	301	579	287	23	56	48	5	0	1	1							
G10719	Sankt Andrä am Zicksee	1150	928	11	917	271	373	226	6	22	12	3	1	3	0							
G10720	Tadten	1015	783	4	779	269	355	120	5	20	7	2	1	0	0							
G10721	Wallern im Burgenland	1451	1149	20	1129	413	348	302	17	21	16	8	2	2	0							
G10722	Weiden am See	1929	1508	11	1497	381	474	448	37	74	66	10	2	4	1							
G10723	Winden am See	1087	814	4	810	321	211	207	19	17	27	5	0	3	0							
G10724	Zurndorf	1688	1364	9	1355	483	300	451	22	44	43	3	4	4	1							
G10725	Neudorf	576	435	8	427	119	166	108	3	14	10	5	1	1	0							
G10726	Potzneusiedl	425	339	3	336	121	62	132	10	5	6	0	0	0	0							
G10727	Edelstal	492	378	2	376	103	153	99	4	5	11	0	0	1	0							
G10799	Wahlkarten - Neusiedl am See	0	3499	23	3476	1058	1163	718	143	158	178	24	7	21	6							
G10800	Oberpullendorf	30965	26456	276	26180	9214	9345	5655	454	573	591	162	77	80	29							
G10801	Deutschkreutz	2549	1892	16	1876	543	785	401	17	47	36	10	33	3	1							
G10802	Draßmarkt	1168	929	8	921	302	393	150	23	25	14	9	1	4	0							
G10803	Frankenau-Unterpullendorf	957	700	5	695	214	314	100	24	18	18	3	1	2	1							
G10804	Großwarasdorf	1158	883	8	875	267	389	150	25	17	16	2	0	6	3							
G10805	Horitschon	1509	1209	11	1198	375	478	284	13	22	20	2	0	4	0							
G10806	Kaisersdorf	488	400	2	398	179	83	101	5	8	17	1	3	1	0							
G10807	Kobersdorf	1555	1247	10	1237	525	324	325	19	19	12	8	1	2	2							
G10808	Lackenbach	940	665	9	656	241	207	169	6	15	5	7	2	2	2							
G10809	Lockenhaus	1654	1238	12	1226	376	446	311	23	26	30	7	2	1	4							
G10810	Lutzmannsburg	706	559	6	553	163	214	144	6	13	6	2	1	2	2							
G10811	Mannersdorf an der Rabnitz	1503	1194	16	1178	418	367	331	9	18	21	10	0	3	1							
G10812	Markt Sankt Martin	993	808	8	800	312	267	158	18	12	17	11	0	5	0							
G10813	Neckenmarkt	1391	1141	17	1124	369	458	239	14	22	20	1	1	0	0							
G10814	Neutal	884	752	13	739	414	163	127	3	7	17	2	2	4	0							
G10815	Nikitsch	1174	907	11	896	274	413	142	17	17	20	5	1	7	0							
G10816	Oberpullendorf	2510	1610	15	1595	464	587	377	46	53	53	3	4	6	2							
G10817	Pilgersdorf	1408	1083	10	1073	273	539	209	9	17	21	4	0	0	1							
G10818	Piringsdorf	710	582	13	569	228	195	106	7	16	15	2	0	0	0							
G10819	Raiding	721	511	3	508	218	177	96	1	4	7	3	1	1	0							
G10820	Ritzing	737	577	5	572	215	156	147	9	12	26	2	1	4	0							
G10821	Steinberg-Dörfl	1063	837	5	832	281	303	181	12	32	19	4	0	0	0							
G10822	Stoob	1156	916	16	900	378	266	203	15	18	13	5	1	0	1							
G10823	Weppersdorf	1503	1180	10	1170	546	222	324	17	21	18	14	1	4	3							
G10824	Lackendorf	503	392	3	389	160	108	98	2	6	9	5	1	0	0							
G10825	Unterfrauenhaid	537	412	3	409	146	146	97	4	6	8	2	0	0	0							
G10826	Unterrabnitz-Schwendgraben	527	426	1	425	117	200	90	9	6	1	2	0	0	0							
G10827	Weingraben	284	232	3	229	100	73	40	3	4	6	1	0	2	0							
G10828	Oberloisdorf	677	536	12	524	196	174	123	7	8	10	4	1	1	0							
G10899	Wahlkarten - Oberpullendorf	0	2638	25	2613	920	898	432	91	84	116	31	19	16	6							
G10900	Oberwart	43420	35865	368	35497	11785	10757	10164	622	909	861	207	41	119	32							
G10901	Bad Tatzmannsdorf	1240	889	9	880	236	337	236	10	28	28	3	1	0	1							
G10902	Bernstein	1805	1325	14	1311	536	359	351	17	16	16	12	1	2	1							
G10903	Deutsch Schützen-Eisenberg	969	782	10	772	123	352	248	6	13	19	5	1	1	4							
G10904	Grafenschachen	1045	844	15	829	388	175	240	6	8	9	2	0	1	0							
G10905	Großpetersdorf	2893	2049	23	2026	804	583	507	33	43	43	7	0	3	3							
G10906	Hannersdorf	659	510	5	505	190	180	115	6	8	5	0	0	1	0							
G10907	Kemeten	1236	926	5	921	311	186	362	16	16	24	1	0	5	0							
G10908	Kohfidisch	1218	971	9	962	323	311	269	8	16	16	11	2	3	3							
G10909	Litzelsdorf	957	735	5	730	225	188	266	21	5	17	2	2	3	1							
G10910	Loipersdorf-Kitzladen	1042	839	5	834	315	240	249	8	8	9	3	0	2	0							
G10911	Mariasdorf	967	754	12	742	238	202	245	10	18	24	2	2	0	1							
G10912	Markt Allhau	1496	1173	11	1162	327	377	336	21	48	39	9	0	4	1							
G10913	Markt Neuhodis	560	445	3	442	182	144	96	2	6	11	1	0	0	0							
G10914	Mischendorf	1376	1057	14	1043	373	382	248	6	16	12	3	1	2	0							
G10915	Oberdorf im Burgenland	843	664	6	658	248	173	210	3	8	9	1	0	5	1							
G10916	Oberschützen	1897	1426	15	1411	353	485	431	38	41	46	11	3	3	0							
G10917	Oberwart	5650	3791	35	3756	1171	1130	1063	83	142	113	29	7	14	4							
G10918	Pinkafeld	4417	3104	32	3072	948	744	1065	79	119	81	16	7	12	1							
G10919	Rechnitz	2433	1752	29	1723	607	452	584	13	32	31	2	0	2	0							
G10920	Riedlingsdorf	1335	993	11	982	371	199	350	12	21	16	8	1	3	1							
G10921	Rotenturm an der Pinka	1149	915	11	904	353	269	228	5	14	18	8	0	8	1							
G10922	Schachendorf	564	451	3	448	106	204	96	14	11	11	1	0	5	0							
G10923	Stadtschlaining	1646	1203	13	1190	460	346	325	6	19	29	2	1	2	0							
G10924	Unterkohlstätten	861	692	6	686	254	264	131	8	9	8	2	9	1	0							
G10925	Unterwart	696	526	6	520	157	194	137	5	10	14	1	1	1	0							
G10926	Weiden bei Rechnitz	695	543	2	541	143	208	153	10	9	13	1	1	3	0							
G10927	Wiesfleck	967	749	3	746	204	256	245	4	8	14	12	0	2	1							
G10928	Wolfau	1108	870	8	862	220	299	275	10	27	21	4	0	3	3							
G10929	Neustift an der Lafnitz	643	519	6	513	167	133	171	5	22	9	6	0	0	0							
G10930	Jabing	594	486	6	480	151	152	129	12	20	11	4	0	1	0							
G10931	Badersdorf	244	200	5	195	57	88	46	0	0	3	1	0	0	0							
G10932	Schandorf	215	157	1	156	68	54	31	0	2	1	0	0	0	0							
G10999	Wahlkarten - Oberwart	0	3525	30	3495	1176	1091	726	145	146	141	37	1	27	5							
G20000	Kärnten	440193	345354	4566	340788	99923	91458	108215	8249	14692	12298	3097	466	1712	678							
G20099	Wahlkarten - Kärnten	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
G2A000	Klagenfurt	121194	94029	1127	92902	27426	25420	25518	3158	4917	4574	954	135	614	186							
G2A099	Wahlkarten - Klagenfurt	0	605	23	582	159	152	72	49	77	56	9	0	8	0							
G2B000	Villach	96359	75608	942	74666	23894	17411	23813	1852	3265	2907	867	93	398	166							
G2B099	Wahlkarten - Villach	0	423	1	422	104	98	89	32	55	34	5	0	3	2							
G2C000	Kärnten West	100894	79622	1111	78511	20944	23224	26250	1562	3149	2215	634	113	271	149							
G2C099	Wahlkarten - Kärnten West	0	385	3	382	89	119	50	21	51	38	6	1	6	1							
G2D000	Kärnten Ost	121746	96095	1386	94709	27659	25403	32634	1677	3361	2602	642	125	429	177							
G2D099	Wahlkarten - Kärnten Ost	0	355	4	351	98	97	71	14	38	25	3	0	5	0							
G20100	Klagenfurt(Stadt)	73972	55675	596	55079	16446	14723	14568	2108	3094	2945	591	93	405	106							
G20101	Klagenfurt am Wörthersee	73972	48330	548	47782	14320	12497	13257	1646	2570	2470	512	84	341	85							
G20199	Wahlkarten - Klagenfurt(Stadt)	0	7345	48	7297	2126	2226	1311	462	524	475	79	9	64	21							
G20200	Villach(Stadt)	44782	34095	388	33707	10927	7683	10323	914	1637	1484	419	44	196	80							
G20201	Villach	44782	30317	361	29956	9657	6696	9608	683	1378	1288	373	38	167	68							
G20299	Wahlkarten - Villach(Stadt)	0	3778	27	3751	1270	987	715	231	259	196	46	6	29	12							
G20300	Hermagor	14827	12239	206	12033	3410	4307	3157	256	433	299	90	14	45	22							
G20302	Dellach	1022	705	13	692	180	283	178	10	24	10	2	2	2	1							
G20305	Hermagor-Pressegger See	5487	3878	56	3822	1227	1162	1065	71	132	120	19	6	15	5							
G20306	Kirchbach	2160	1478	22	1456	324	552	483	16	41	19	16	0	4	1							
G20307	Kötschach-Mauthen	2746	1864	44	1820	494	699	472	32	56	46	13	3	3	2							
G20316	St. Stefan im Gailtal	1308	934	13	921	335	282	247	10	19	19	5	0	0	4							
G20320	Gitschtal	992	695	15	680	181	199	226	15	35	12	11	0	1	0							
G20321	Lesachtal	1112	783	20	763	128	458	128	11	17	12	5	0	2	2							
G20399	Wahlkarten - Hermagor	0	1902	23	1879	541	672	358	91	109	61	19	3	18	7							
G20400	Klagenfurt Land	47222	37749	508	37241	10821	10545	10878	1001	1746	1573	354	42	201	80							
G20402	Ebenthal in Kärnten	6287	4409	64	4345	1411	985	1520	69	148	139	44	5	17	7							
G20403	Feistritz im Rosental	1998	1342	19	1323	507	316	337	28	52	55	13	1	11	3							
G20405	Ferlach	5601	3901	66	3835	1336	791	1265	92	134	157	35	1	15	9							
G20409	Grafenstein	2323	1602	28	1574	344	528	544	23	68	42	14	0	6	5							
G20412	Keutschach am See	1960	1351	15	1336	400	375	345	42	79	66	18	2	6	3							
G20414	Köttmannsdorf	2336	1758	29	1729	495	505	512	44	68	74	10	2	12	7							
G20415	Krumpendorf am Wörthersee	2686	1790	19	1771	386	638	374	83	164	92	15	2	15	2							
G20416	Ludmannsdorf	1481	1056	5	1051	347	271	291	35	38	47	12	0	8	2							
G20417	Maria Rain	1969	1393	25	1368	325	411	401	36	91	72	17	7	5	3							
G20418	Maria Saal	3140	2214	32	2182	583	660	620	67	108	112	15	4	10	3							
G20419	Maria Wörth	1272	770	6	764	162	289	158	29	59	47	12	0	6	2							
G20421	Moosburg	3627	2411	27	2384	596	687	820	57	118	76	16	2	7	5							
G20424	Pörtschach am Wörther See	2150	1374	21	1353	265	521	346	31	105	61	16	1	4	3							
G20425	Poggersdorf	2545	1986	29	1957	527	580	667	34	74	44	15	4	10	2							
G20428	St. Margareten im Rosental	884	612	7	605	198	191	177	7	15	10	4	0	3	0							
G20432	Schiefling am Wörthersee	1941	1339	18	1321	352	393	425	19	47	62	15	0	6	2							
G20435	Techelsberg am Wörther See	1757	1172	26	1146	343	296	399	22	32	32	12	4	6	0							
G20441	Zell	511	337	4	333	169	75	26	11	19	29	1	1	2	0							
G20442	Magdalensberg	2754	1981	22	1959	594	526	623	32	59	88	17	1	14	5							
G20499	Wahlkarten - Klagenfurt Land	0	4951	46	4905	1481	1507	1028	240	268	268	53	5	38	17							
G20500	Sankt Veit an der Glan	44826	35330	465	34865	9762	9224	12635	562	1244	934	240	64	138	62							
G20501	Althofen	3805	2546	34	2512	774	577	937	32	93	67	19	3	7	3							
G20502	Brückl	2242	1594	34	1560	497	376	586	13	39	30	9	3	6	1							
G20503	Deutsch-Griffen	764	526	9	517	85	139	278	2	3	5	2	1	1	1							
G20504	Eberstein	1057	771	11	760	151	208	334	12	24	14	9	1	5	2							
G20505	Friesach	4237	2773	31	2742	692	719	1107	36	91	65	18	3	8	3							
G20506	Glödnitz	681	431	3	428	102	129	178	3	11	3	1	1	0	0							
G20508	Gurk	1039	808	8	800	201	231	321	13	18	11	1	3	1	0							
G20509	Guttaring	1175	856	14	842	230	266	265	13	34	28	3	1	0	2							
G20511	Hüttenberg	1222	838	12	826	278	152	357	3	12	11	5	0	8	0							
G20512	Kappel am Krappfeld	1594	1147	19	1128	246	409	380	9	46	22	7	3	6	0							
G20513	Klein St. Paul	1531	1134	15	1119	288	288	454	10	37	28	7	1	3	3							
G20515	Liebenfels	2631	1870	24	1846	567	462	623	37	70	49	21	3	9	5							
G20518	Metnitz	1696	1213	17	1196	236	413	474	9	27	19	3	10	3	2							
G20519	Micheldorf	861	550	8	542	202	120	174	3	21	14	3	2	2	1							
G20520	Mölbling	1083	758	9	749	147	169	370	16	21	15	4	2	4	1							
G20523	St. Georgen am Längsee	2957	2117	40	2077	605	482	750	25	99	87	18	2	5	4							
G20527	St. Veit an der Glan	9892	6375	89	6286	2159	1355	2136	111	227	190	48	7	30	23							
G20530	Straßburg	1690	1225	12	1213	219	356	556	6	38	23	7	2	5	1							
G20531	Weitensfeld im Gurktal	1744	1242	13	1229	243	394	525	15	20	26	2	0	3	1							
G20534	Frauenstein	2925	2140	28	2112	541	595	714	49	108	74	17	6	6	2							
G20599	Wahlkarten - Sankt Veit an der Glan	0	4416	35	4381	1299	1384	1116	145	205	153	36	10	26	7							
G20600	Spittal an der Drau	61941	48503	654	47849	12841	13808	16333	954	1932	1256	390	76	170	89							
G20601	Bad Kleinkirchheim	1320	810	2	808	167	260	306	12	35	26	1	0	1	0							
G20602	Baldramsdorf	1533	1011	15	996	310	199	433	5	19	18	7	1	2	2							
G20603	Berg im Drautal	1067	749	10	739	173	343	154	16	27	12	8	1	2	3							
G20604	Dellach im Drautal	1342	899	20	879	245	317	238	12	40	19	3	1	1	3							
G20605	Großkirchheim	1083	771	6	765	103	292	299	12	28	18	6	1	3	3							
G20607	Flattach	976	649	7	642	148	192	261	5	20	11	3	2	0	0							
G20608	Gmünd in Kärnten	2119	1431	22	1409	393	398	475	32	66	26	11	0	7	1							
G20609	Greifenburg	1386	978	16	962	210	293	357	20	38	23	10	1	4	6							
G20610	Heiligenblut am Großglockner	858	571	9	562	82	243	175	4	27	23	1	3	3	1							
G20611	Irschen	1629	1205	18	1187	355	398	329	14	54	18	11	1	4	3							
G20613	Kleblach-Lind	974	713	13	700	229	210	201	11	32	12	2	0	3	0							
G20616	Lendorf	1429	1012	11	1001	259	279	381	12	33	27	8	0	1	1							
G20618	Mallnitz	641	437	5	432	197	105	91	6	18	10	3	1	1	0							
G20619	Malta	1678	1105	19	1086	304	246	457	19	24	23	9	0	2	2							
G20620	Millstatt am See	2762	1762	23	1739	435	574	511	46	87	53	15	9	3	6							
G20622	Mörtschach	680	477	7	470	61	168	203	5	7	14	6	1	4	1							
G20624	Mühldorf	831	557	10	547	166	70	277	3	12	13	3	0	3	0							
G20625	Oberdrauburg	966	654	14	640	170	240	187	16	9	14	2	1	1	0							
G20627	Obervellach	1821	1163	14	1149	250	374	439	17	43	13	8	2	3	0							
G20630	Radenthein	4897	3348	53	3295	1036	796	1158	44	113	89	36	6	11	6							
G20631	Rangersdorf	1366	871	7	864	186	228	393	11	22	11	8	1	1	3							
G20632	Rennweg am Katschberg	1490	1055	22	1033	234	340	394	15	24	17	3	2	3	1							
G20633	Sachsenburg	1021	715	14	701	173	162	313	7	20	17	3	1	2	3							
G20634	Seeboden am Millstätter See	5145	3360	46	3314	753	1021	1147	74	187	82	26	4	11	9							
G20635	Spittal an der Drau	11924	7894	113	7781	2466	1810	2657	146	309	274	62	14	29	14							
G20636	Stall	1315	851	8	843	176	213	414	5	11	15	5	1	2	1							
G20637	Steinfeld	1686	1159	16	1143	376	291	386	16	31	27	9	1	4	2							
G20638	Trebesing	958	655	20	635	140	211	236	5	25	12	3	1	2	0							
G20639	Weißensee	628	406	1	405	57	195	106	9	24	8	2	1	1	2							
G20640	Winklern	985	598	8	590	139	172	225	9	25	16	3	0	1	0							
G20642	Krems in Kärnten	1483	977	16	961	185	311	409	4	23	19	6	1	3	0							
G20643	Lurnfeld	2153	1400	13	1387	382	359	503	18	64	35	16	2	5	3							
G20644	Reißeck	1795	1269	22	1247	414	275	451	18	39	31	6	5	5	3							
G20699	Wahlkarten - Spittal an der Drau	0	6991	54	6937	1867	2223	1767	306	396	230	85	11	42	10							
G20700	Villach Land	51577	41090	553	40537	12863	9630	13401	906	1573	1389	443	49	199	84							
G20701	Afritz am See	1196	834	6	828	255	145	348	14	26	23	10	0	4	3							
G20702	Arnoldstein	5281	3626	52	3574	1276	726	1244	49	115	105	31	2	17	9							
G20703	Arriach	1153	775	15	760	161	185	362	9	20	14	5	1	2	1							
G20705	Bad Bleiberg	1882	1276	13	1263	503	180	457	21	41	37	10	1	12	1							
G20707	Feistritz an der Gail	514	388	8	380	93	124	132	4	17	8	1	0	1	0							
G20708	Feld am See	911	644	7	637	167	152	267	8	18	17	4	1	2	1							
G20710	Ferndorf	1781	1290	30	1260	439	208	505	25	33	34	6	0	8	2							
G20711	Finkenstein am Faaker See	6968	4866	61	4805	1504	1266	1481	119	203	152	52	4	20	4							
G20712	Fresach	1040	795	27	768	251	130	333	7	17	19	9	0	1	1							
